dataset,seed,method,window_id,A_r,B_r,U_r,m_by_client
sensorscope,30002,raven_wo_design,74,"[""client-001"", ""client-003""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-001"", ""client-003""]","{""client-000"": 2.6424556974013873, ""client-001"": 3.028054888334403, ""client-002"": 4.0920875803582515, ""client-003"": 5.284911394802775, ""client-004"": 6.056109776668806, ""client-005"": 2.6424556974013873, ""client-007"": 6.056109776668806}"
sensorscope,30002,raven_wo_design,75,"[""client-001"", ""client-002"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002"", ""client-007""]","{""client-000"": 3.0302030435757117, ""client-001"": 3.0302030435757117, ""client-002"": 3.0302030435757117, ""client-003"": 5.279462498329041, ""client-004"": 6.060406087151423, ""client-005"": 5.279462498329041, ""client-006"": 5.279462498329041, ""client-007"": 3.0302030435757117}"
sensorscope,30002,raven_wo_design,76,"[""client-001"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-005"", ""client-006"", ""client-007""]","{""client-001"": 7.911107658807699, ""client-003"": 3.0278117300274756, ""client-005"": 5.274071772538466, ""client-006"": 3.0278117300274756, ""client-007"": 3.0278117300274756}"
sensorscope,30002,raven_wo_design,77,"[""client-000"", ""client-003""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-007""]","[""client-000"", ""client-003""]","{""client-000"": 3.0389671695202023, ""client-001"": 7.074592985575956, ""client-002"": 3.0389671695202023, ""client-003"": 3.0389671695202023, ""client-007"": 3.537296492787978}"
sensorscope,30002,raven_wo_design,78,"[""client-001"", ""client-003"", ""client-006""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-001"", ""client-003"", ""client-006""]","{""client-000"": 3.5585742934097975, ""client-001"": 6.103039486507622, ""client-003"": 3.051519743253811, ""client-004"": 2.6449525299307326, ""client-005"": 9.154559229761432, ""client-006"": 9.154559229761432}"
sensorscope,30002,raven_wo_design,79,"[""client-005""]","[""client-001"", ""client-002"", ""client-005"", ""client-006""]","[""client-005""]","{""client-001"": 9.153157146214037, ""client-002"": 3.5540592559961794, ""client-005"": 7.941329216372926, ""client-006"": 4.180425200331548}"
sensorscope,30002,raven_wo_design,80,"[""client-000"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-000"", ""client-004"", ""client-006""]","{""client-000"": 3.5548078535604852, ""client-001"": 4.172301630039737, ""client-002"": 2.657012477923984, ""client-003"": 2.657012477923984, ""client-004"": 2.657012477923984, ""client-005"": 6.115020530713262, ""client-006"": 6.115020530713262}"
sensorscope,30002,raven_wo_design,81,"[""client-001"", ""client-004""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-004""]","{""client-000"": 9.187729191254355, ""client-001"": 6.125152794169571, ""client-003"": 3.5596996762920137, ""client-004"": 5.324000415528376, ""client-005"": 2.662000207764188, ""client-006"": 7.986000623292564, ""client-007"": 4.176639877228318}"
sensorscope,30002,raven_wo_design,82,"[""client-001"", ""client-004"", ""client-006""]","[""client-001"", ""client-004"", ""client-005"", ""client-006""]","[""client-001"", ""client-004"", ""client-006""]","{""client-001"": 7.978207552782379, ""client-004"": 9.172119938474246, ""client-005"": 7.978207552782379, ""client-006"": 7.978207552782379}"
sensorscope,30002,raven_wo_design,83,"[""client-001"", ""client-002"", ""client-004"", ""client-005""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-001"", ""client-002"", ""client-004"", ""client-005""]","{""client-001"": 2.6527087109332106, ""client-002"": 2.6527087109332106, ""client-003"": 9.166013625557785, ""client-004"": 2.6527087109332106, ""client-005"": 6.110675750371857, ""client-007"": 6.110675750371857}"
sensorscope,30002,raven_wo_design,84,"[""client-000"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","{""client-000"": 6.116554242957912, ""client-003"": 6.116554242957912, ""client-004"": 6.116554242957912, ""client-005"": 6.116554242957912, ""client-006"": 5.289350209502317, ""client-007"": 2.6446751047511583}"
sensorscope,30002,raven_wo_design,85,"[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","{""client-000"": 7.9118234515829675, ""client-001"": 2.637274483860989, ""client-002"": 5.274548967721978, ""client-003"": 5.274548967721978, ""client-004"": 5.274548967721978, ""client-005"": 7.9118234515829675, ""client-006"": 3.056440561596553, ""client-007"": 3.056440561596553}"
sensorscope,30002,raven_wo_design,86,"[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-007""]","{""client-000"": 5.249582370313105, ""client-001"": 9.141751234301323, ""client-003"": 3.047250411433774, ""client-004"": 2.6247911851565524, ""client-005"": 6.094500822867548, ""client-007"": 5.249582370313105}"
sensorscope,30002,raven_wo_design,87,"[""client-003"", ""client-004""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-007""]","[""client-003"", ""client-004""]","{""client-001"": 4.268851572986385, ""client-002"": 2.6197735114024487, ""client-003"": 7.173425832872456, ""client-004"": 2.6197735114024487, ""client-007"": 3.586712916436228}"
sensorscope,30002,raven_wo_design,88,"[""client-003""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-003""]","{""client-000"": 4.293407695507563, ""client-002"": 5.252315634159516, ""client-003"": 7.878473451239275, ""client-004"": 2.626157817079758, ""client-005"": 4.293407695507563, ""client-007"": 5.252315634159516}"
sensorscope,30002,raven_wo_design,89,"[""client-001"", ""client-004"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-004"", ""client-005""]","{""client-000"": 3.6126784411482418, ""client-001"": 6.123712822435435, ""client-002"": 6.123712822435435, ""client-004"": 6.123712822435435, ""client-005"": 5.254324599250133, ""client-006"": 5.254324599250133, ""client-007"": 2.6271622996250663}"
sensorscope,30002,raven_wo_design,90,"[""client-001"", ""client-002"", ""client-003""]","[""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006""]","[""client-001"", ""client-002"", ""client-003""]","{""client-001"": 5.243592429769402, ""client-002"": 3.0586116796061464, ""client-003"": 6.117223359212293, ""client-005"": 3.0586116796061464, ""client-006"": 2.621796214884701}"
sensorscope,30002,raven_wo_design,91,"[""client-003"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-003"", ""client-007""]","{""client-000"": 2.622679839759068, ""client-003"": 5.245359679518136, ""client-004"": 5.245359679518136, ""client-005"": 5.245359679518136, ""client-007"": 3.0684006979878005}"
sensorscope,30002,raven_wo_design,92,"[""client-000"", ""client-001""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005""]","[""client-000"", ""client-001""]","{""client-000"": 3.0808739430127723, ""client-001"": 3.0808739430127723, ""client-002"": 3.0808739430127723, ""client-004"": 4.408611025710954, ""client-005"": 2.6258479796894747}"
sensorscope,30002,raven_wo_design,93,"[""client-000"", ""client-003"", ""client-004"", ""client-005""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-005""]","{""client-000"": 6.1891119109916515, ""client-001"": 5.264089419281088, ""client-003"": 2.632044709640544, ""client-004"": 5.264089419281088, ""client-005"": 5.264089419281088, ""client-007"": 2.632044709640544}"
sensorscope,30002,raven_wo_design,94,"[""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-002""]","{""client-000"": 9.303119568034315, ""client-001"": 4.469225171012704, ""client-002"": 5.270131278486803, ""client-003"": 3.1010398560114387, ""client-005"": 3.699811170022043, ""client-006"": 4.469225171012704, ""client-007"": 2.6350656392434013}"
sensorscope,30002,raven_wo_design,95,"[""client-003""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-003""]","{""client-000"": 6.201103576582189, ""client-002"": 6.201103576582189, ""client-003"": 2.634362235594372, ""client-004"": 3.1005517882910945, ""client-005"": 8.939585618829046, ""client-006"": 5.268724471188744, ""client-007"": 7.903086706783116}"
sensorscope,30002,raven_wo_design,96,"[""client-000"", ""client-001"", ""client-003"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-005""]","{""client-000"": 6.191668384109985, ""client-001"": 5.264476301288992, ""client-002"": 3.691102985708549, ""client-003"": 6.191668384109985, ""client-004"": 3.0958341920549923, ""client-005"": 3.0958341920549923, ""client-006"": 3.0958341920549923, ""client-007"": 9.287502576164977}"
sensorscope,30002,raven_wo_design,97,"[""client-000"", ""client-002"", ""client-003"", ""client-004""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004""]","{""client-000"": 3.0874975572225596, ""client-002"": 2.626480075129236, ""client-003"": 4.438590294339381, ""client-004"": 5.252960150258472, ""client-005"": 7.879440225387708, ""client-006"": 5.252960150258472, ""client-007"": 3.6791880933825194}"
sensorscope,30002,raven_wo_design,98,"[""client-003"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-003"", ""client-007""]","{""client-000"": 2.6258934145123716, ""client-001"": 3.675153312692382, ""client-002"": 3.675153312692382, ""client-003"": 7.877680243537115, ""client-004"": 6.1710977710514054, ""client-006"": 7.877680243537115, ""client-007"": 2.6258934145123716}"
sensorscope,30002,raven_wo_design,99,"[""client-000"", ""client-002"", ""client-004"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-004"", ""client-006"", ""client-007""]","{""client-000"": 5.244841605063348, ""client-001"": 3.082329318200634, ""client-002"": 6.164658636401268, ""client-004"": 3.082329318200634, ""client-005"": 9.246987954601902, ""client-006"": 5.244841605063348, ""client-007"": 9.246987954601902}"
sensorscope,30002,raven_sag,0,"[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","{""client-000"": 10.0, ""client-001"": 10.0, ""client-003"": 15.0, ""client-004"": 15.0, ""client-005"": 20.0, ""client-006"": 10.0, ""client-007"": 10.0}"
sensorscope,30002,raven_sag,1,"[""client-001"", ""client-003""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-003""]","{""client-000"": 3.473922334106405, ""client-001"": 2.001624548065468, ""client-002"": 4.003249096130936, ""client-003"": 2.001624548065468, ""client-005"": 2.001624548065468, ""client-006"": 6.004873644196405, ""client-007"": 3.473922334106405}"
sensorscope,30002,raven_sag,2,"[""client-002"", ""client-003"", ""client-004""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-002"", ""client-003"", ""client-004""]","{""client-001"": 7.346562823350089, ""client-002"": 2.4488542744500297, ""client-003"": 2.4488542744500297, ""client-004"": 6.167293406080979, ""client-006"": 2.4488542744500297, ""client-007"": 1.7693241708377547}"
sensorscope,30002,raven_sag,3,"[""client-001"", ""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-006""]","[""client-001"", ""client-005"", ""client-006""]","{""client-000"": 1.7445971714555322, ""client-001"": 4.5241593666475675, ""client-003"": 4.5241593666475675, ""client-005"": 2.2620796833237837, ""client-006"": 2.2620796833237837}"
sensorscope,30002,raven_sag,4,"[""client-002"", ""client-004"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-004"", ""client-006"", ""client-007""]","{""client-000"": 7.962865035812039, ""client-002"": 2.65428834527068, ""client-003"": 5.30857669054136, ""client-004"": 7.962865035812039, ""client-005"": 2.845039995084136, ""client-006"": 2.65428834527068, ""client-007"": 2.845039995084136}"
sensorscope,30002,raven_sag,5,"[""client-002"", ""client-006""]","[""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-006""]","{""client-002"": 5.333048997816379, ""client-004"": 2.542024207169441, ""client-005"": 2.426824902396794, ""client-006"": 5.333048997816379, ""client-007"": 2.426824902396794}"
sensorscope,30002,raven_sag,6,"[""client-001"", ""client-004"", ""client-005""]","[""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-001"", ""client-004"", ""client-005""]","{""client-001"": 5.726983562298061, ""client-003"": 2.9290970270064935, ""client-004"": 5.726983562298061, ""client-005"": 5.858194054012987, ""client-006"": 8.78729108101948}"
sensorscope,30002,raven_sag,7,"[""client-001"", ""client-003""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-001"", ""client-003""]","{""client-001"": 2.958544311655734, ""client-002"": 2.958544311655734, ""client-003"": 5.917088623311468, ""client-004"": 2.785958748661326, ""client-006"": 2.958544311655734, ""client-007"": 2.958544311655734}"
sensorscope,30002,raven_sag,8,"[""client-002"", ""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-005"", ""client-006""]","{""client-000"": 3.41150897728063, ""client-001"": 3.0863187160649073, ""client-002"": 3.0863187160649073, ""client-003"": 5.609960258087973, ""client-004"": 3.7873859840905295, ""client-005"": 2.8049801290439866, ""client-006"": 5.609960258087973, ""client-007"": 3.0863187160649073}"
sensorscope,30002,raven_sag,9,"[""client-001"", ""client-003"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-003"", ""client-005"", ""client-007""]","{""client-000"": 8.320736688168843, ""client-001"": 2.7735788960562813, ""client-002"": 3.109153995672514, ""client-003"": 6.218307991345028, ""client-004"": 2.7735788960562813, ""client-005"": 6.218307991345028, ""client-006"": 6.218307991345028, ""client-007"": 8.320736688168843}"
sensorscope,30002,raven_sag,10,"[""client-002"", ""client-003"", ""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-003"", ""client-005"", ""client-006""]","{""client-000"": 3.9594055073870082, ""client-001"": 2.67527847294975, ""client-002"": 3.9594055073870082, ""client-003"": 5.3505569458995, ""client-004"": 3.025160732195888, ""client-005"": 2.67527847294975, ""client-006"": 2.67527847294975, ""client-007"": 5.3505569458995}"
sensorscope,30002,raven_sag,11,"[""client-003"", ""client-004""]","[""client-001"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-003"", ""client-004""]","{""client-001"": 7.925140018742526, ""client-003"": 2.641713339580842, ""client-004"": 2.641713339580842, ""client-006"": 2.641713339580842, ""client-007"": 2.641713339580842}"
sensorscope,30002,raven_sag,12,"[""client-000"", ""client-001"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-006""]","[""client-000"", ""client-001"", ""client-006""]","{""client-000"": 4.453508399394986, ""client-001"": 2.65380467809959, ""client-002"": 3.113860464636159, ""client-006"": 2.65380467809959}"
sensorscope,30002,raven_sag,13,"[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005""]","{""client-000"": 5.470989993964905, ""client-001"": 10.94197998792981, ""client-002"": 9.738320057850713, ""client-003"": 5.470989993964905, ""client-004"": 6.492213371900475, ""client-005"": 5.470989993964905, ""client-006"": 4.762221922521621, ""client-007"": 4.762221922521621}"
sensorscope,30002,raven_sag,14,"[""client-000"", ""client-002"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-005"", ""client-007""]","{""client-000"": 3.130146068360508, ""client-001"": 2.6429218508497527, ""client-002"": 2.6429218508497527, ""client-004"": 4.580917728025618, ""client-005"": 9.390438205081523, ""client-006"": 9.390438205081523, ""client-007"": 2.6429218508497527}"
sensorscope,30002,raven_sag,15,"[""client-001"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-006""]","{""client-000"": 4.512440672153202, ""client-001"": 6.223215368581254, ""client-002"": 9.024881344306404, ""client-003"": 3.7233980087261638, ""client-004"": 3.111607684290627, ""client-005"": 2.6372513301648532, ""client-006"": 3.7233980087261638, ""client-007"": 3.111607684290627}"
sensorscope,30002,raven_sag,16,"[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-006""]","{""client-000"": 7.925756998452999, ""client-001"": 2.641918999484333, ""client-002"": 2.641918999484333, ""client-003"": 5.283837998968666, ""client-004"": 6.151372834659539, ""client-005"": 9.227059251989308, ""client-006"": 7.925756998452999, ""client-007"": 3.0756864173297696}"
sensorscope,30002,raven_sag,17,"[""client-001"", ""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-006"", ""client-007""]","[""client-001"", ""client-002""]","{""client-000"": 4.161819302685862, ""client-001"": 3.017374050306189, ""client-002"": 5.222857605646112, ""client-006"": 5.222857605646112, ""client-007"": 5.222857605646112}"
sensorscope,30002,raven_sag,18,"[""client-000""]","[""client-000"", ""client-001"", ""client-004"", ""client-006""]","[""client-000""]","{""client-000"": 9.180154261722544, ""client-001"": 6.120102841148363, ""client-004"": 6.120102841148363, ""client-006"": 3.0600514205741813}"
sensorscope,30002,raven_sag,19,"[""client-005""]","[""client-001"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-005""]","{""client-001"": 6.164302646376351, ""client-003"": 5.221826072722226, ""client-005"": 6.164302646376351, ""client-006"": 6.164302646376351, ""client-007"": 2.610913036361113}"
sensorscope,30002,raven_sag,20,"[""client-000"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-006"", ""client-007""]","[""client-000"", ""client-007""]","{""client-000"": 6.235898332263106, ""client-001"": 5.2413282387009055, ""client-002"": 2.6206641193504527, ""client-003"": 6.235898332263106, ""client-006"": 9.353847498394659, ""client-007"": 5.2413282387009055}"
sensorscope,30002,raven_sag,21,"[""client-000"", ""client-004"", ""client-005""]","[""client-000"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-004"", ""client-005""]","{""client-000"": 2.6107756432063667, ""client-002"": 9.329244393008015, ""client-004"": 5.221551286412733, ""client-005"": 7.8323269296191, ""client-006"": 7.8323269296191, ""client-007"": 3.763288105976789}"
sensorscope,30002,raven_sag,22,"[""client-001"", ""client-003"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-003"", ""client-006""]","{""client-000"": 4.661568222489682, ""client-001"": 5.156714337885303, ""client-002"": 2.5783571689426514, ""client-003"": 3.0894207413673147, ""client-004"": 5.156714337885303, ""client-005"": 6.178841482734629, ""client-006"": 5.156714337885303, ""client-007"": 3.765963953127624}"
sensorscope,30002,raven_sag,23,"[""client-001"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-005""]","{""client-000"": 7.540348357468138, ""client-001"": 10.18046482770314, ""client-002"": 3.770174178734069, ""client-003"": 9.206623009022218, ""client-004"": 7.635348620777355, ""client-005"": 3.0688743363407394, ""client-006"": 2.545116206925785, ""client-007"": 6.137748672681479}"
sensorscope,30002,raven_sag,24,"[""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-003"", ""client-004""]","{""client-000"": 2.4828101473529287, ""client-001"": 8.99673463243402, ""client-003"": 4.965620294705857, ""client-004"": 5.997823088289347, ""client-005"": 2.4828101473529287, ""client-006"": 9.265067025091838}"
sensorscope,30002,raven_sag,25,"[""client-002"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-002"", ""client-007""]","{""client-000"": 2.459389896717478, ""client-001"": 5.963210972296998, ""client-002"": 2.459389896717478, ""client-003"": 2.459389896717478, ""client-004"": 4.918779793434956, ""client-006"": 4.918779793434956, ""client-007"": 2.459389896717478}"
sensorscope,30002,raven_sag,26,"[""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-006"", ""client-007""]","[""client-007""]","{""client-000"": 7.421333542971425, ""client-001"": 3.001853001759291, ""client-003"": 3.001853001759291, ""client-006"": 4.693452363676679, ""client-007"": 3.001853001759291}"
sensorscope,30002,raven_sag,27,"[""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-005"", ""client-006""]","{""client-000"": 9.554226277047698, ""client-001"": 2.4994531256003514, ""client-003"": 4.998906251200703, ""client-004"": 3.0402118253598025, ""client-005"": 6.080423650719605, ""client-006"": 6.080423650719605, ""client-007"": 7.551976545677488}"
sensorscope,30002,raven_sag,28,"[""client-005""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-005""]","{""client-000"": 6.052657171362819, ""client-003"": 5.000448382810649, ""client-004"": 3.0263285856814095, ""client-005"": 3.0263285856814095, ""client-006"": 4.696726194232787}"
sensorscope,30002,raven_sag,29,"[""client-000"", ""client-001""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-007""]","[""client-000"", ""client-001""]","{""client-000"": 3.0446811922520376, ""client-001"": 3.0446811922520376, ""client-002"": 6.089362384504075, ""client-003"": 2.51754310163823, ""client-007"": 2.51754310163823}"
sensorscope,30002,raven_sag,30,"[""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-004"", ""client-006""]","{""client-000"": 3.0902295075878934, ""client-001"": 4.820539580560922, ""client-002"": 6.180459015175787, ""client-003"": 6.180459015175787, ""client-004"": 2.5460680658046995, ""client-005"": 4.820539580560922, ""client-006"": 2.5460680658046995, ""client-007"": 2.5460680658046995}"
sensorscope,30002,raven_sag,31,"[""client-000"", ""client-001"", ""client-002"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004""]","{""client-000"": 2.5580311393801693, ""client-001"": 5.116062278760339, ""client-002"": 6.185327846325551, ""client-004"": 7.674093418140508, ""client-005"": 6.185327846325551, ""client-007"": 2.5580311393801693}"
sensorscope,30002,raven_sag,32,"[""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-005"", ""client-006"", ""client-007""]","{""client-000"": 6.193448091696055, ""client-001"": 3.79984246343858, ""client-002"": 6.193448091696055, ""client-003"": 7.710534733841564, ""client-005"": 5.14035648922771, ""client-006"": 3.0967240458480276, ""client-007"": 9.4774912183575}"
sensorscope,30002,raven_sag,33,"[""client-000"", ""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004""]","{""client-000"": 2.568407798128031, ""client-001"": 4.657997526870803, ""client-003"": 3.0799543234543214, ""client-004"": 6.159908646908643, ""client-005"": 6.159908646908643, ""client-006"": 2.568407798128031, ""client-007"": 4.657997526870803}"
sensorscope,30002,raven_sag,34,"[""client-003""]","[""client-002"", ""client-003"", ""client-006"", ""client-007""]","[""client-003""]","{""client-002"": 6.160258376716048, ""client-003"": 2.582511404131669, ""client-006"": 6.160258376716048, ""client-007"": 2.582511404131669}"
sensorscope,30002,raven_sag,35,"[""client-000"", ""client-001"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-007""]","{""client-000"": 2.617629584135858, ""client-001"": 5.235259168271716, ""client-002"": 6.232582702488941, ""client-003"": 3.1162913512444703, ""client-005"": 5.235259168271716, ""client-006"": 5.235259168271716, ""client-007"": 3.768674069314004}"
sensorscope,30002,raven_sag,36,"[""client-002"", ""client-003"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-002"", ""client-003"", ""client-005""]","{""client-000"": 5.258855849015786, ""client-001"": 7.522631474051947, ""client-002"": 5.258855849015786, ""client-003"": 6.24234132068282, ""client-004"": 6.24234132068282, ""client-005"": 9.189298571874499, ""client-007"": 4.594649285937249}"
sensorscope,30002,raven_sag,37,"[""client-000""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-000""]","{""client-000"": 3.088730882555376, ""client-003"": 4.486139825928203, ""client-004"": 2.6167814988294946, ""client-005"": 10.467125995317978, ""client-006"": 2.6167814988294946}"
sensorscope,30002,raven_sag,38,"[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004""]","{""client-000"": 2.6447911875311174, ""client-001"": 12.42521106335186, ""client-002"": 5.289582375062235, ""client-003"": 5.289582375062235, ""client-004"": 3.106302765837965, ""client-006"": 3.106302765837965}"
sensorscope,30002,raven_sag,39,"[""client-001"", ""client-002"", ""client-003""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002"", ""client-003""]","{""client-000"": 3.103314669078731, ""client-001"": 7.9496309461497905, ""client-002"": 3.103314669078731, ""client-003"": 6.206629338157462, ""client-004"": 3.103314669078731, ""client-005"": 2.64987698204993, ""client-006"": 7.362742368422097, ""client-007"": 7.362742368422097}"
